Province,GDP
Madrid ,47599
Barcelona ,41607
Valencia ,32135
Seville ,27662
Alicante ,27204
Biscay ,43786
Murcia ,28832
Málaga ,25378
Zaragoza ,38050
A Coruña ,32484
Tarragona ,42072
Mallorca ,37650
Gipuzkoa ,46105
Asturias ,30392
Girona ,40295
Cádiz ,23888
Pontevedra ,29487
Navarre ,43641
Tenerife ,29080
Gran Canaria ,27688
Granada ,25394
Córdoba ,25091
Castellón ,34509
Almería ,27647
Valladolid ,35433
Cantabria ,31273
Lleida ,42439
Toledo ,25686
Álava ,53521
Jaén ,25023
Badajoz ,23664
Ciudad Real ,28419
León ,29426
Burgos ,38677
Huelva ,25899
La Rioja ,37559
Albacete ,27469
Lugo ,31359
Cáceres ,24660
Salamanca ,29104
Ourense ,29200
Huesca ,37985
Guadalajara ,26996
Cuenca ,29648
Palencia ,36038
Ibiza and Formentera ,32985
Zamora ,27826
Teruel ,36361
Segovia ,31500
Lanzarote ,33675
Ávila ,27265
Fuerteventura ,30988
Soria ,35965
Menorca ,28153
Ceuta ,28207
Melilla ,25748
La Palma ,25622
La Gomera ,27723
El Hierro ,24979
